,Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
0,44.07388889,9.503333332999999,34132,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
1,45.46694444,9.577222222,34133,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
2,45.46638889,9.576111111,34134,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
3,37.42583333,3.141666667,34149,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
4,37.42583333,3.141666667,34150,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
5,37.42583333,3.142777778,34151,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
6,37.42333333,3.142222222,34152,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
7,36.81416667,3.1552777780000003,34153,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
8,75.63194444,28.19194444,34157,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
9,74.685,28.36722222,34158,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
10,71.23222222,27.70611111,34159,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
11,36.81388889,3.1552777780000003,34169,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
12,35.20277778,2.856944444,34170,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
13,35.03444444,2.601666667,34171,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
14,36.70833333,2.851388889,34178,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
15,37.42416667,3.122222222,34189,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
16,37.42416667,3.122222222,34190,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
17,37.42277778,3.1294444439999998,34191,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
18,37.42277778,3.1294444439999998,34199,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
19,37.41333333,3.124444444,34221,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
20,37.41694444,3.1211111110000003,34222,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
21,35.04444444,2.6122222219999998,34223,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
22,36.90694444,2.245555556,34224,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
23,35.04527778,2.610833333,34229,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
24,35.045,2.6091666669999998,34230,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
25,35.0375,2.606666667,34231,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
26,35.03777778,2.6069444440000002,34232,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
27,37.41666667,3.121388889,34233,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
28,36.72166667,2.751666667,34236,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
29,34.7,2.7166666669999997,34248,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
30,73.53027778,27.18388889,34249,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
31,73.57777778,27.26027778,34251,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
32,35.0375,2.598055556,34260,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
33,35.04388889,2.601944444,34261,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
34,35.04416667,2.601388889,34262,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
35,35.0425,2.600833333,34263,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
36,35.0425,2.601111111,34264,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
37,69.00722222,27.48027778,34275,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
38,45.5325,9.534166667000001,34313,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
39,45.53222222,9.533888889,34314,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
40,44.07388889,9.503333332999999,34315,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
41,45.46694444,9.577222222,34316,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
42,45.46638889,9.576111111,34317,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
43,37.42583333,3.141666667,34336,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
44,37.42583333,3.141666667,34337,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
45,37.42583333,3.142777778,34338,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
46,37.42333333,3.142222222,34339,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
47,36.81416667,3.1552777780000003,34340,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
48,75.63194444,28.19194444,34344,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
49,74.685,28.36722222,34345,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
50,71.23222222,27.70611111,34346,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
51,36.81388889,3.1552777780000003,34356,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
52,35.20277778,2.856944444,34357,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
53,35.03444444,2.601666667,34358,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
54,36.70833333,2.851388889,34365,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
55,37.42416667,3.122222222,34376,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
56,37.42416667,3.122222222,34377,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
57,37.42277778,3.1294444439999998,34378,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
58,37.42277778,3.1294444439999998,34386,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
59,37.41333333,3.124444444,34408,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
60,37.41694444,3.1211111110000003,34409,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
61,35.04444444,2.6122222219999998,34410,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
62,36.90694444,2.245555556,34411,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
63,35.04527778,2.610833333,34416,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
64,35.045,2.6091666669999998,34417,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
65,35.0375,2.606666667,34418,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
66,35.03777778,2.6069444440000002,34419,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
67,37.41666667,3.121388889,34420,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
68,36.72166667,2.751666667,34423,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
69,34.7,2.7166666669999997,34435,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
70,73.53027778,27.18388889,34436,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
71,73.57777778,27.26027778,34438,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
72,35.0375,2.598055556,34447,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
73,35.04388889,2.601944444,34448,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
74,35.04416667,2.601388889,34449,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
75,35.0425,2.600833333,34450,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
76,35.0425,2.601111111,34451,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
77,69.00722222,27.48027778,34462,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
78,45.5325,9.534166667000001,34500,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
79,45.53222222,9.533888889,34501,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
80,44.07388889,9.503333332999999,34502,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
81,45.46694444,9.577222222,34503,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
82,45.46638889,9.576111111,34504,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
83,37.42583333,3.141666667,34533,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
84,37.42583333,3.141666667,34534,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
85,37.42583333,3.142777778,34535,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
86,37.42333333,3.142222222,34536,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
87,36.81416667,3.1552777780000003,34537,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
88,75.63194444,28.19194444,34541,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
89,74.685,28.36722222,34542,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
90,71.23222222,27.70611111,34543,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
91,36.81388889,3.1552777780000003,34553,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
92,35.20277778,2.856944444,34554,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
93,35.03444444,2.601666667,34555,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
94,36.70833333,2.851388889,34562,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
95,37.42416667,3.122222222,34573,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
96,37.42416667,3.122222222,34574,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
97,37.42277778,3.1294444439999998,34575,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
98,37.42277778,3.1294444439999998,34583,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
99,37.41333333,3.124444444,34609,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
100,37.41694444,3.1211111110000003,34610,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
101,35.04444444,2.6122222219999998,34611,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
102,36.90694444,2.245555556,34612,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
103,35.04527778,2.610833333,34620,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
104,35.045,2.6091666669999998,34621,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
105,35.0375,2.606666667,34622,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
106,35.03777778,2.6069444440000002,34623,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
107,37.41666667,3.121388889,34624,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
108,36.72166667,2.751666667,34630,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
109,34.7,2.7166666669999997,34642,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
110,73.53027778,27.18388889,34643,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
111,73.57777778,27.26027778,34645,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
112,35.0375,2.598055556,34654,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
113,35.04388889,2.601944444,34655,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
114,35.04416667,2.601388889,34656,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
115,35.0425,2.600833333,34657,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
116,35.0425,2.601111111,34658,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
117,69.00722222,27.48027778,34669,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
118,45.5325,9.534166667000001,34708,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
119,45.53222222,9.533888889,34709,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
120,44.07388889,9.503333332999999,34710,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
121,45.46694444,9.577222222,34711,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
122,45.46638889,9.576111111,34712,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
123,37.42583333,3.141666667,34741,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
124,37.42583333,3.141666667,34742,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
125,37.42583333,3.142777778,34743,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
126,37.42333333,3.142222222,34744,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
127,36.81416667,3.1552777780000003,34745,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
128,75.63194444,28.19194444,34749,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
129,74.685,28.36722222,34750,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
130,71.23222222,27.70611111,34751,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
131,36.81388889,3.1552777780000003,34761,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
132,35.20277778,2.856944444,34762,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
133,35.03444444,2.601666667,34763,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
134,36.70833333,2.851388889,34770,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
135,37.42416667,3.122222222,34781,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
136,37.42416667,3.122222222,34782,2020-06-30,1,#ffd700,#25b840,#d50000,#c0b096
137,37.42277778,3.1294444439999998,34783,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
138,37.42277778,3.1294444439999998,34791,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
139,37.41333333,3.124444444,34817,2020-06-30,1,#ffd700,#22b741,#d50000,#965a47
140,37.41694444,3.1211111110000003,34818,2020-06-30,1,#ffd700,#2bba3e,#d50000,#b9ab9c
141,35.04444444,2.6122222219999998,34819,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#a18064
142,36.90694444,2.245555556,34820,2020-06-30,1,#ffdb00,#c1db0b,#ff6700,#a7cc4b
143,35.04527778,2.610833333,34828,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
144,35.045,2.6091666669999998,34829,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
145,35.0375,2.606666667,34830,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde78
146,35.03777778,2.6069444440000002,34831,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#bfde77
147,37.41666667,3.121388889,34832,2020-06-30,1,#ffd700,#28b93f,#d50000,#b9ab9c
148,36.72166667,2.751666667,34838,2020-06-30,1,#ffde00,#2bba3e,#c80000,#ddc9bd
149,34.7,2.7166666669999997,34850,2020-06-30,1,#bede00,#ccc80a,#ff8500,#086701
150,73.53027778,27.18388889,34851,2020-06-30,1,#ffe700,#0cb249,#b10000,#c0b096
151,73.57777778,27.26027778,34853,2020-06-30,1,#ffd900,#0cb249,#b60000,#d1c0ab
152,35.0375,2.598055556,34862,2020-06-30,1,#fffb00,#c1db0b,#ff6000,#a58469
153,35.04388889,2.601944444,34863,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
154,35.04416667,2.601388889,34864,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
155,35.0425,2.600833333,34865,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
156,35.0425,2.601111111,34866,2020-06-30,1,#fffb00,#c0dc0b,#ff3f00,#9d7c5f
157,69.00722222,27.48027778,34877,2020-06-30,1,#ffd700,#008230,#9f0000,#a7cc4c
158,45.5325,9.534166667000001,34916,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
159,45.53222222,9.533888889,34917,2020-06-30,1,#ffec00,#c5d40b,#ff3700,#965a46
160,44.07388889,9.503333332999999,34918,2020-06-30,1,#fffa00,#ccc80a,#ff4d00,#b09279
161,45.46694444,9.577222222,34919,2020-06-30,1,#fff900,#c6d20b,#ff5100,#b0cf69
162,45.46638889,9.576111111,34920,2020-06-30,1,#fff900,#c6d20b,#ff5100,#9a6e5a
163,37.42583333,3.141666667,35028,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
164,37.42583333,3.141666667,35029,2020-06-30,1,#ffd700,#2bba3e,#d50000,#d1c0ab
165,37.42583333,3.142777778,35030,2020-06-30,1,#ffd700,#2ebb3d,#d50000,#d1c0ab
166,37.42333333,3.142222222,35031,2020-06-30,1,#ffd700,#28b93f,#d50000,#c8b5a6
167,36.81416667,3.1552777780000003,35032,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
168,75.63194444,28.19194444,35036,2020-06-30,1,#ffdb00,#18b545,#7f0000,#a58468
169,74.685,28.36722222,35037,2020-06-30,1,#ffe300,#09b14a,#d10000,#b9ab9b
170,71.23222222,27.70611111,35038,2020-06-30,1,#ffd400,#00933b,#7f0000,#e5dbcd
171,36.81388889,3.1552777780000003,35048,2020-06-30,1,#ffdb00,#4ec332,#cc0000,#c8b5a5
172,35.20277778,2.856944444,35049,2020-06-30,1,#fff600,#96d419,#ff1a00,#9a6e5a
173,35.03444444,2.601666667,35050,2020-06-30,1,#fffb00,#c1db0b,#ff3f00,#9a6e59
174,36.70833333,2.851388889,35057,2020-06-30,1,#ffe700,#2ebb3d,#c80000,#cdba9f
